Rating,Date Experienced,Review Title,Review
1,2023-12-05,This gym is cold and wet,cold wet lovely large window cannot see anything due condensation maybe bit warmer would happen seen people training coat week looking forward carpet smelling mould next week
1,2023-12-11,The worst gym ever.,worst ever closed maintenance inform bathroom nasty clean one water station
2,2023-12-07,Poor Facilities,member cardiff gate several year must say whilst self pretty good suite need facility require maintenance changing room number damaged locker hair dryer x one dryer working top shower absolutely poor best appears turned thermostat spring save energy cost remained poor throughout month gone best barely warm mentioned one instructor laughed said warm enough great customer response winter period would expect water temperature improved colder period year would good idea employee check like puregyms
1,2023-11-14,ABSOLUTE JOKE OF A COMPANY,absolute joke company tryed buy towel vending machine witch never give towel way contact threw facebook messenger actual physical phone number speak someone hour finally contacted back thats wait time told working day well time come refund never go back threw hour process contacting awaiting reply told exact person james refund would infact take working day well called james respond another person apology process take time anyway working day passed still refund back threw rigmarole hour process give detail like th working day still reply back yesterday giving detail absolve joke canceling membership stick refund sun shine
1,2023-12-01,It’s Freezing all the time in this gym,freezing time including water shower something strange going ac window streamed constantly yet always cold would expect steamed little busy time time empty
2,2023-12-16,"Showers cold, no air con",shower cold air con never thing could resolved would defo star great staff great
1,2023-12-05,"Rude manager, even worse from the PTs...",member two year say thankfully finally another option opening area next week kit ok even placement kit poor fine youd expect issue staff seen manager several time week since joined even acknowledged said much hello said previous assistant manager majority personal trainer interaction welcome even smile even go far dirty look see overheard even insulting making fun member made complaint asked leave review time ago got email telling wrong exactly kind place give bad name ignorance staff personal trainer would enough put new goer
1,2023-12-03,Absolute joke Denton gym that hot in…,absolute joke denton hot summer due aircon lost electolites training winter freezing last month s**t hole get money cleanliness terrible
1,2023-12-13,Not worth the price & lack of customer service,excited opening minute walk house quickly go home shower go straight work reason joined member group cannot fault service second reason joined promotional offer £ joined opened first six month price increase £ need rethink price increase member want value money providing example constructed layout small expected much bigger space price much wasted space deadlift rack could instead three mirror area see side angle addition way back extension positioned see side angle one long mirror dumbbell front view placed front pillar discovered cable machine wrong sticker weight thought choosing kg example really kg sign informing member landline positioned placed carpet window open door rain water come make carpet extremely wet discovered using landmine seated position tracksuit bottom soaked informed manager sign placed inform member whoever designed left critical element missing key machine biceps curl triceps press lat pulldown lateral raise calf press hack squat low amount cardio machine price example one upright bike good amount cable machine could believe provide cable straight bar used attachment cable machine narrow grip landmine handle row attachment shocking good amount functional stuff opened door public first thing shocked fact changing area toilet shower locker floor shared men woman enough locker member also provided open shelf people put possession ridiculous sign say held accountable anything go missing provide locker frustration increased opened closed send email member telling u found going seeing sign saying place shut due facility issue use closest joke main reason joined close proximity closest would crouch hill finsbury park muswell hill mean additional cost pay transport distance work contacted customer service option given freeze membership would pay £ month find preposterous email sent update member open could pay £ freeze membership open tomorrow told keep eye email shocking group never give timeframe keep updated constantly made pay freeze membership cancelling membership feel lot member leave first six month price increase reflect quality
1,2023-12-01,Not the fault of the staff locally,fault staff locally clearly limited choice higher management poor almost every locked smashed unusable month year complaint management see replaced need wholesale replacement space huge poor used feel like logic thought went went natural light constraint space dealt whit light painting scheme good electric lighting keep g premise free mould manage get basic right yes situation shower poor reduced + second low pressure tepid water exactly invigorating energise workout feel like might get comprehensive school received investment thirty year bad space maintained management seem content run pity could good least far fix anything short order fix lovkers nothing g else belonging safe robbery
1,2023-12-12,"Can’t change my home gym,and there’s no…",change home phone number talk human home croydon move wandsworth
2,2023-12-02,Good equipment but freezing showers,busy good let recent lowering water temperature shower avoid
1,2023-10-01,The hair dryer is not working since…,hair dryer working since september 😫 afford buy new one ridiculous
1,2023-12-04,ABSOLUTLY FREEZING,absolutly freezing colder outside morning wonder dead
2,2023-12-10,Unfriendly staff and machines quite…,unfriendly staff machine quite close eachother
1,2023-12-06,Rude Staff,rude staff intimidating respectful
1,2023-11-22,Disgusting changing rooms,disgusting changing room badly run
1,2023-11-30,Customers… an inconvenience.,company deliberately refuse engage chat service promise reply ‘usually within hour chosen bother phone line provide date information sudden unexpected end unexplained closure sign cash cow company concern customer
1,2023-11-29,Poor maintenance & poor Sanitary,toilet shower week sign bother repair fact anything breakdown get repaired month air conditioning leak summer blow cold air winter weight left place toilet often run toilet paper cheap show
2,2023-11-30,Air conditioning,like huge problem really cold air conditioning working sure think necessary almost december useful would air circulation bigger number people air breathe glass wall steamy really easy effect floor next well want change carpet closest future looking saving something please talked people cause want member shame became really good
1,2023-11-30,Gone down hill impossible to get on a…,gone hill impossible get bench unless go morning much better hour better price cancelling
1,2023-11-29,No hot water for 3 months!,hot water month freezing outside
1,2023-11-01,I'm truly devastated by the current…,truly devastated current state past month something felt dirty changing room unpleasant machine broken seems like visible management feel like running without direction shocking part terrible attitude assistant manager treat client well leaving others feeling mistreated leadership style unacceptable position given someone else additionally lift crucial individual mobility issue order month without anyone addressing issue drastic decline quality within month truly disheartening plea better treatment member would gladly welcome
1,2023-11-22,Dirty,men changing room disgusting hole wall someone punched dirty smell awful really busy peak time renewing membership
2,2023-11-23,Spin Bikes,whilst spin instructor good bike terrible state seems running joke rather something need addressed even instructor frustrated bike situation rusty issue please get sorted
1,2023-11-28,One star is generous,one star generous really tried give chance get worse every week filthy machine always breaking could tolerate belonging stolen “safe” locker sure ever return staff keenly aware people thing stolen frequently really seem bothered roid head thief proper joke
1,2023-11-28,Absolutely disappointed with this gym…,absolutely disappointed false advertising signed plus membership able use checked could use borehamwood live watford work borehamwaood could tried use borehamwood could get received text saying use app let change anything big waste time money
2,2023-10-01,"Dumbbells scatter, gym smell sweaty",something scattered dumbbell barbell floor member putting back place many time want use kg dumbbell went kg dumbbell zone smelly everytime walk smell musty sweaty smell time
1,2023-11-27,Terrible company,terrible company take money account without permission shared concern current state manager nothing changed snowhill would question giving good review especially cleanliness personal trainer staff maybe standard others used within chain personal trainer needless arrogant uninspiring old rusting stink although product clean use member ultimately responsibility cleaner however cleaner spend time phone changing room cleaning pushing vacuum around much never soap wash hand soap dispenser broken week end seems issue since mid would question management place chewing gum stuck carpet hard notice hard monitor cleanliness safety every personal trainer must disability use disabled toilet member need evidently convenient walking step changing room foot away close live would left
1,2023-05-31,Machine built incorrectly,really enjoying hip adductor abductor machine handle bolted wrong way leg part hit handle handle flush seat interfering movement got sick bruising thigh told via instagram read st may still changed since due able complete leg workout literally bolt undo turn right way
1,2023-11-27,Hello,hello joined bedford nearly three month ago first payment included called admin fee fee second payment monthly suppose £ took £ reason complaint ignored manager state customer service issue contact customer service member service email give get automatic response stating sorry leaving ignored cost got month took £ stopped direct debit cancelled membership despite paid spoke team pointed towards email previously mentioned like purecon £ three month membership membership suppose £ stay well clear
2,2023-11-27,"Dirty, busy and machines out of order for long periods",certain machine order + week one specific machine meaning skip exercise routine week busy time hard use without waiting age changing room toilet always stink kept bad condition
2,2023-11-25,They need to employ a cleaner,need employ cleaner someone dirty tissue mess floor day around leg press upstairs dread think many germ machine even clean large item also cover leg extension need replacing raw edge split cover hurt back leg
1,2023-11-24,DO NOT use the soap I washed my hands…,use soap washed hand bathroom next thing know call ambulance painful reaction throughout whole body risk
2,2023-11-24,Water problem,hi recently became member two class really liked instructor great downside went shower hot water really inconvenient go work straight would like know problem fixed think right advertise something provide
1,2023-11-24,Cleanliness of lockers,cleanliness going year still enjoy always improvement made think locker ever cleaned inside locker filthy dirty full dust bacteria especially door locker surprisingly manager regional manager walk around see problem locker damaged damaged least dirty inside
2,2023-11-22,Looks like others are noticing the cons…,look like others noticing con new layout cardio plus leg workout area great change
1,2023-11-21,Terrible experience shower temperature…,terrible experience shower temperature set luke warm degree degree body temperature totally unacceptable complained response basically customer service dismissive barely warm shower company policy probably cancel membership join new opening december bromley
1,2023-11-22,Overcrowded gym & unpleasant trainers,made minute late first last class booked prefer using weight usually bus delay told leave class cancelling membership right posting review proper way treat paying customer lateness min + would understand minute unpleasant sake trainer justified saying missed warm class packed brim read low star review easily see managing booking properly let honest issue respectable venue would check name allowing attendee class would give minute grace entrance back nuffield go complaint broken fairly frequently taking fix venue smelling bad generally make wonder hygiene standard severe overcrowding peak time understand budget guess come territory indeed decided try class time around would challenge secure squat rack time pm wednesday review pertains leg ab tum class wednesday nd november pm toodles p would appreciate venue respond tell “popular” venue low rating review budget allows oversubscription poor booking management popular girl class real cute public perception management attempt suppose
1,2023-11-22,NO HOT WATER AGAIN!,write review seems like way fix thing shower order week due hot water issue said issue resolved last week using shower water ice cold barely water pressure instead gone worse people use shower morning like work go huge inconvenience paying membership getting full amenity also problem going long time year especially get worse winter seems like trying skimp hot water summer always hot
1,2023-11-14,Average gym,good business model average atmosphere hr supermarket make rule like bag wear footwear none staff say anything main gig personal training machine constantly use hot water well week
1,2023-11-21,Men’s changing rooms and showers closed…,men changing room shower closed due drain problem warning morning went think happened yesterday also closed week back well member year long opened history drainage leak issue staff response morning helpful although fix either
2,2023-11-01,Average at best,staff including management hang around desk time laughing joking people actually changing room warm enough locker monopolised people locking leaving premise checked staff despite website stating every night music loud wifi provided connect signal poor okay price well managed changing room bit unclean also peak hour stated website minute later
2,2023-11-14,Machine hoggers,cable machine far popular four machine always occupied matter time day train outside peak hour user hog long period time last week asked young lad already min many set got quite machine like use say unfair user shrugged comment group guy hogging machine together age short physically dragging someone customer meant constantly snitch staff either time invest timer say min max per user purchase machine replacing less popular one adressed cancel membership
1,2023-11-19,They suspend you over a silly stuff,suspend silly stuff even give warning email letter giving warning putting back weight suspend straight away could wasting money forget put back weight sometimes suspend everything
1,2023-11-19,The condition of the toilets and sink…,condition toilet sink woman changing room appalling sink stink toilet constantly clogged order twickenham picture
1,2023-11-18,Update: And still the most foul-smelling Gym in Halifax!,communication manager said november email “although issue air conditioning still ventilation checked confirmed operational ” went thnovember entered pod could feel heat stench sickening truthful place stink done many month fellow member prepared substantiate claim made requested low level stale air uncomfortable higher level stale air become unhealthy breathing unhealthy level stale air cause skin irritation headache fatigue especially dangerous individual underlying condition like allergy respiratory problem gymnasium decline good blaming personnel start taking health safety customer seriously disturbingly shocking
1,2023-11-17,Toilets are often dirty and they are…,toilet often dirty unisex class open space poor quality
1,2023-11-18,Not a good start,great start joined booked induction person suppose show contact rich seen strike rule class also app say induction done lie second visit min round trip would normally area saturday first impression pretty old grubby cleaning station well stocked one observation mean people bother edit see go way contact manager honest would know sure feedback date experiance easily able check pretty unhelpful reply review actually much proactive
1,2023-02-19,I was supposed to have 2 hours free…,supposed hour free parking received pcn parking fine shall cancel membership
2,2023-11-10,Puregym Sutton Coldfield …,couple issue needed attention wrote letter manager including mobile email address failed respond issue still exists
1,2023-11-17,Where do I start been with you from the…,start day started weston super mare fair good went bad let start cardio machine dirty filthy air conditioning turned summer got baked alive manager told olly morris control set head office touch trying save money please mention environment read let move new manager rude bad mannered one reading thinking join weston please asthma humidity finish god new opposite site weston hr sauna hot tub steam room air con turned coming back last day go survive heat looked wiki billion pound company good enough
1,2023-11-16,I only come here because of the lack of competition,£ thats much membership cost per month old tired squeaky rusty something break take week repaired everything often left waiting someone finish foolish assume made huge deal building better upgrading bring brand new look feel latest kit would mean new replacing old total refresh nope youve gotten rid cardio keeping various service treadmill place adding functional area cleared space weight machine uncomfortably squeezed together fantastic air con patchy best oven summer freezing winter shower tepid desperate need upgrading morning without prior warning via social medium email member gent shower closed grouting surely planned week could send simple email advise shower would unavailable reason busy competition area expect membership plummet snap fitness open people realise better alternative
1,2023-11-15,Today I went on the leg curl machine…,today went leg curl machine realised hols blocked use mean unable use machine imagine alot others meant cater everyone see would block hole people smaller thigh use machine available half year anyway go alot around country nobody ever done crazy
2,2023-11-14,When I joined I thought I could use all…,joined thought could use except central london one shower changing room grubby water barely warm *home harlow people sleep hydro massage bed sit age
1,2023-11-13,Terrible,week trying contact response tried email facebook twitter still reply paying member asked join try book class unable enter well changing another contact staff issue like arise
1,2023-11-11,The ladies section has limited equipment,lady section limited need smith machine asap lady section jd road better range
1,2023-11-14,Cold showers.,cold shower please stop saying temperature set instead pro active go take shower far cold
1,2023-11-13,free weights area is small and gets…,free weight area small get cramped risky lead injury bench enough barbell gymn big
1,2023-11-13,BROTHERHOOD PETERBOROUGH PUREGYM,peterborough brotherhood suspended membership without giving reason explanation contact member team advise contact contact tell go back devastated keep charging every month yet give explanation blocked way even request refund one speak wrote multiple email yet answer anyone value customer please keep away scammer even make effort deal
2,2023-10-14,Way too busy,way busy barely available go go really late night early morning
1,2023-11-11,Obvious discrimination,housemate f looking together class looking trial class wrote member service asking trial offered free day pas told trial purchase membership wrote back screenshot divergent response told difference treatment either member housemate fact never member joining member year pointed membership detail ‘membership based trial table apparent difference housemate male asian name female asian background everything else equal conclude member service case discriminating basis either race gender come back obvious treat everyone equally everything life action speak louder word
1,2023-11-12,Full of kids on their mobile phones,full kid mobile phone weight left floor staff non existent poorly maintained machinery
1,2023-11-11,Pure Gym Hayes  Closed,hayes well managed suddenly constantly alots maintained damaged shutting without notice email sm use closed notice received notification went found locked closed notice really wasting time money thinking leave
1,2023-09-27,The worst customer service I have…,worst customer service received long time recently joined wanted change direct debit date payday emailed number customer service work bearing mind joined th september emailed rd october request direct debit date change sent auto response receiving response never received one tried change app online good date come direct debt collected fails received email logging account late fee admin fee tried log even respond email provided talk customer service answer automated response asking log account tried account blocked cannot log appalled lack customer service received someone simply done job responded week ago tried collect direct debt end october would situation also cancelled class th october found app email correspondence
1,2023-11-10,The Yanga sports water membership,yanga sport water pay membership sudden min time limit fill bottle time ridiculous website clearly state unlimited water min restriction pay monthly membership refilling water every min hack squat leg press month two month still sorted
2,2023-11-09,A lot of equipment broken and run down.,lot broken run know base cheaper alternative expect least able use stepper york order odd broken lot running machine lot seat longer adjustable area recall ever seeing many thing broken use
1,2023-11-02,I had the unfortunate experience of…,unfortunate experience member must say staff good time however one staff particular left disappointed pleased typically good experience puregyms often feel compelled write bad review encounter staff member consistently disappointing first foremost customer service provided abysmal seemed disinterested indifferent need concern member going motion without genuine care people supposed serving never felt welcomed valued member made visit truly underwhelming experience additionally found unprofessional behavior instance engaging personal conversation phone often ignoring need member required assistance question unreasonable expect certain level professionalism courtesy staff fitness facility additionally overheard time making fun member theyve walked away making inappropriate comment say done unable get woman name manager make exceptionally worse short middle aged african woman would like dealt immediately ruining experience u
1,2023-11-08,"disgusting, misogynistic class",friend disgraceful experience canary wharf booked onto learn lift session call website fitness coach” app told u wait functional area arrived minute early minute minute class meant start saunter start go men changing room another pt spoke earlier called looked u asked wanted explained class proceeds look u like piece dirt passively aggressively explain waiting table entrance explain app told u wait functional area proceeds say need wait table know table need go” attitude attempt mansplain table absolutely disgusting go walk away asked whether taking session said would come back later experience felt incredibly misogynistic two female goer knocked confidence ever coming back woman treated attitude towards fact waiting whilst right area disgusting cancelled membership feel comfortable around future asked remove personal detail unfortunately woman goer warned would good hear back manager incident ala still waiting edit seen reply reply received google twitter got touch manager previous writing review still response …
1,2023-11-06,"Very busy, mostly for weight training.",busy even peak time weight training attracts kind clientele new user
1,2023-10-02,Bad management and staff,could give zero star would since lockdown gone hill stayed staff changed know run filthy whenever clean wipe come back black unsure cleaning take place witnessed pt leave weight floor setting great standard others tried emailing concern inappropriately approached trainer stopped replying meant arrange talk walked last week voiced concern person manager overheard said yeah laughed cancelled membership laughing face customer concern absolutely disgusting
2,2023-11-08,Considering leaving this gym.Its no…,considering leaving frill sauna swimming pool £ least give customer hot shower water temperature luke warm bordering cold think twice joining like hot shower refering ti habourside bristol
1,2023-11-07,Terrible first visit not sure I’m returning,today first day really let recently started working coventry home sutton coldfield going peak membership wanted class work wanted pay higher membership fine got today got ready drove coventry class booked onto told one booked cancelled class asked sent email message telling people said said would got get said ‘oh right walked round pointing machine exactly sure acceptable paid paying class whether one person twenty class taught left paid getting paid joined class time expected turn n hope might actually get paid really really disappointed taken much get right headspace get back n work around diary split time birmingham coventry getting super early let bad service sure going go back sad really expect guy job paying regard response yet shown lack interest customer service satisfaction instead told contact people mention reply would easier include information information original review email told u day time name seriously difficult place making angry stay away see start finish way thing dealt waste time money
1,2023-10-14,The Enfield gym is a poor gym,enfield poor every time problem need close recommend
1,2023-10-15,No parking - members are fined for parking,several others mentioned member never told register car reg every time enter result several member received parking charge £ management never took responsibility clearly evident free parking allowed available access mention parking situation included joining instruction term instead problem emerged management silently added paper warning need enter car reg tablet almost hidden behind wall waste time money sanity become member cancelling mine
1,2023-11-06,Not amazing,overcrowded biggest free area always closed class exasperating issue ceiling always leaking never turn air con warmer month staff aimlessly walk around sporadically enforcing rule never heard year member unfortunately found issue specific attended one nottingham manchester london always pleasant however decided moved different needed final push today thank
1,2023-11-04,Saturday at wrexham puregym..,saturday wrexham music cold shower constantly reminded safe place harrased 🤔 using year always safe harrasment using
1,2023-11-04,It's far too hot,hot appreciate outside temperature dropping temperature far high bit cold well soon warm start working hot sweating even start hotter living room home change going find another intolerable moment also help think would save money turn heat
1,2023-11-03,worst hygiene in recorded history,worst hygiene ever seen review going back several year saying disgusting place yet nothing puregyms sanitizer hand towel place even soap toilet working hand dryer staff tell bring sanitizer disgraceful usually go oval weekend stuck sh@t hole always put meaningless generic response see pathetic
1,2023-11-03,Very nasty gym!,nasty staff unprofessional uncivilised jealous racist toward people colour seen many white folk workout bare foot nobody ever told nothing problem go back school mf uneducated poor thing would worked alexander mcqueens shoe one guy police officer whenever see black person drive good expensive car game policy followed certain group people innit strange listen yeah said said due experience thing life either mr madam working one among time golden go start argument stranger huh kind person one picked harassed staff first place know exactly people like always look chance act accordingly plus even member anymore plenty nice rather make feel attacked disrespected harassed literally tolerate disrespect embarrassment take sh** seriously either second week since joined worst experience immediately removed fat interested love ngl nastiest derby
1,2023-11-03,PureGym Burnham,without doubt worst ever visited dirty outdated men locker room permanently smell human waste bo absolutely disgusting member seem joined local primary school etiquette every visit stressful particularly since epidemic car break car park even sign door stating disgusting place every level
1,2023-10-17,Saucy staff,morning routine made awkward constant interaction male pt girlfriend customer female pt boyfriend customer sick looking early every morning complete lack professionalism save free time work signed new starting next week
2,2023-11-02,WiFi still useless …,since review kentish town branch april response would address issue poor wifi report improvement marked star result
2,2023-10-15,Still not able to log into the wifi and…,still able log wifi staff elusive keep trying
2,2023-11-02,I have attended this gym for three…,attended three year nothing changed machine dirty locker cannot closed door bent seems like different machine often broken take age repaired disgusting expect much seems like care much customer maybe cleaner management wrong unable handle everything know advance good look hand well
1,2023-10-31,Ive been a member for almost a year now…,member almost year quite came first tome hayes gymn hot water shower working xold train left got message telling shower working came today cold trqin apalled way contacting customer service complain someone customer service get touch ridiculous
2,2023-10-05,Terrible customer service,actual fine customer service basically total lack customer service unbelievably irritating time issue thing work properly app like class booking error tried contact anyone impossible phone line emailed sent facebook message got taken massive loop reply bot got person seem information would already sent reply new person also seem understand previous conversation got general copy paste reply relevance question issue question final straw tried cancel impossible website app instruction cancel took loop scammy feel instruction far advance need cancel also different different part app website
2,2023-10-30,"No staff around, equipment not cleaned",seems longer cleaned wiped actual cleaning staff used see staff cleaning staff around covid nowhere seen see lump dust sitting treadmill changing room looking shabby think mentality expecting member cleaning member going tough really disappointing standard good used love kept clean offered lady section feel icky work
2,2023-10-30,"Maggots, flooding, mould",unfortunately left choice leave bad review weekend flooding toilet service shower working understand thing sometimes go wrong got email access day later noticed fixed problem see mould maggot side shower tried email directly got response unhygienic really hope start taking seriously quite serious
1,2023-10-31,Sort out the ventilation problem please,witney big problem air con always hot even winter beware
1,2023-10-28,No improvements for years and years,improvement year year either work missing part staff turnover regular membership fee get used partially never get maintained fixed
