Rating,Date Experienced,Review Title,Review,Generated Topics,Extracted Topics
2,2023-12-13,Overpriced,"i was so excited about this gym but its not worth the value. new, nicely built, unfortunately very overpriced gym. we appreciate the welcome price but thats the catch! final basic price: £32.99 !  the constructed layout is small, expected much bigger space for the price. too much wasted space and unorganised positions for the machines. missing 1-10kg dumbbell set by the free weight. missing some key machines: biceps curl, triceps press, lat pulldown, lateral raise, calf press, hack squat and very low amount of cardio machines for this price. good amount of cable crossovers, good amount of functional stuff, 3 deadlift rack which could have been 6 if you move it and use the back side too...  ive been to some puregyms which are cheaper and bigger in the area - dont understand why this one is so high priced. maybe the 24/7 access, but thats not compensating the issues i just mentioned.  i really hope you consider and act on my advise. lower the price or add more stuff!"," 

1. bad value 2. bad space 3. missing equipment To answer this question, we need to extract the main points of the customer","bad value | bad space | missing equipment To answer this question, we need to extract the main points of the customer"
1,2023-12-12,Long term member,"long term member. 24hr gym, my daughter went to gym before work arrived at 5:15am left at 5:47am and got a £100 parking ticket. the car park is open, no barriers etc, and is used for puregym, homebase and mcdonalds. and for some reason looking at the small print that you can not see in the dark says no parking between 00.30 & 5:30am. there is no reason to have those restrictions in that car park apart from making money from people who use the gym in those hours. purgym should make it clear on the website no parking available between hours stated above."," 

1. Parking ticket.
2. Car park restrictions.
3. Gym hours.",Parking ticket. | Car park restrictions. | Gym hours.
2,2023-12-11,Scam when freezing membership,"i feel totally scammed by puregym, i’ve just had an accident and can’t do workouts for a month. i remember my bill date was on mid-december, i rushed to freeze my membership but turns out that you need to do it around 4 days earlier, so need to pay this month as usual and next with the freeze price, what doesn’t help. i got so annoyed that tried to cancel my membership for good but they don’t even allow you to do it till your bill date has passed by some days so they can make sure you can’t claim it back through your bank. i can’t believe they trick the app this way so you can’t basically do anything when all subscriptions nowadays allow you to even cancel the day before of your bill date. they got my money for this month but it will be the last, there’re more gyms in the area that are about same prices and not that crowded and probably not that dirty.. you will never see any cleaning around. also it’s bloody cold in there, try to have a shower in winter time there.."," 

1. Puregym scammed me.
2. Membership freeze price.
3. Membership cancellation.",Puregym scammed me. | Membership freeze price. | Membership cancellation.
2,2023-12-13,Not as good,"a bit on a small side same changing rooms for male and female? big no for me! only 20 or so lockers and half of them are already taken by people who keep their stuff over the night. pls do not do that, take your gym bag with you when u leaving and free the lockers! some equipment still missing , not so many machines…. no cleaning stations no sanitising sprays to clean sweaty benches /equipment. it is really uncomfortable and makes you feel bad when you have to use dirty bench covered in sweat. and when gym is closed due to unforeseen circumstances should we not get an email for how long or when will it be reopen? comparing to other pure gyms this one not doing that well.."," 

1. Changing rooms for male and female.
2. Lockers and equipment availability.
3. Gym closures and communication.",Changing rooms for male and female. | Lockers and equipment availability. | Gym closures and communication.
1,2023-12-04,There never seems to be any hot water…,"there never seems to be any hot water for the showers. the men’s changing rooms had even lost 3 showers. i assume due to cost saving, which is another issue as you stand in a cold changing room waiting for an available shower. non the less surely it’s a legal requirement to provide a certain level of warms in a place open to paying members of the public. with saving money not refitting and blocking off three showers surely there is a few pennys more in the jar for some warmer air and water?"," 

1. Hot water issue.
2. Changing room problem.
3. Legal requirement concern.",Hot water issue. | Changing room problem. | Legal requirement concern.
2,2023-12-17,Caution with PT's,"the gym itself i cant fault. very clean, to a good standard and well maintained.  however, take caution if you are considering hiring one of the pts there (i wont say who, due to it being there being an ongoing investigation regarding this pt).  the pt i hired promised, for £233 a month, 8 sessions and a fitness plan i could follow. however, this was not delivered. the in-person sessions completely contradicted the online sessions set, the diet plan was completely off from what i needed, the supplements didnt match to watch i stipulated (i told the pt i couldnt take creatine, yet the diet plan heavily relied on it) and i ended up with several injuries as a result of the exercises set-the reason i hired a pt was so i could recover from injuries, among other things.  the pt only delivered on 4 booked sessions, of the 8 promised. i met them for a 5th, however i wont count that one, he cancelled the booked one at short notice, and rearranged it for a time that was completely unsuitable. even though i attended, i only completed about half of it because i ended up with an injury, because he booked a running session the day after another running session, as the pt hadnt checked the online sessions he had set for me. i ended up not being able to rest my legs.  i didnt hear anything after that from the pt for over a week. i was surprised to find the pt had charged me for another month, with no direct debit set up, no subscription agreement set up, nor had the pt asked whether i wanted another month. the pt hadnt delivered on one months worth of sessions.  were now nearly 3 weeks since i had the money taken out, and the pt has still to book a session or even contact me. the clearly never intended on delivering a session this month.  ive tried contacting puregym, and making them aware of the situation. the pt is still operating at the gym, and the issue is still not resolved. i havent really heard from anyone, beyond the odd email to state they were aware. im not the sort to publicly shame, and i was prepared to give the gym time to resolve this issue. however, as i havent heard anything, i dont have much of a choice."," 

1. gym maintenance 
2. hiring experience 
3. refund/delivery issues To answer this question, I will stop here.","gym maintenance | hiring experience | refund/delivery issues To answer this question, I will stop here."
2,2023-12-10,"Poor gym etiquette, Norwich Aylsham Road","the gym itself is okay, could benefit from an extra leg machine (e.g.: hack squat) and a better calf raise machine (e.g.: standing straight leg). lockers are only outside changing rooms which was annoying at the start but i got used to it after a couple of months.  the biggest issue i have with this gym is the fact that most of the equipment always has plates on it. most people do not bother putting weights back. i have been to a large number of other gyms in norwich (including other puregym in castle mall), other cities and countries, and ive never seen it that bad. the culture in this gym is really poor, and the management needs to do something about it, there are ways to encourage/remind of positive and responsible behaviour. as of now, a lot of people have zero respect for the place, the equipment, and the people who will be using said equipment after theyre done. imagine your young sister or (grand)mother joining the gym and not being able to use half of the machines because they got 20/25kg plates all over which they cannot remove themselves safely. really, really poor."," 

1. equipment  issues
2. culture  problems
3. respect  for gym  staff and equipment To answer this question, I will","equipment  issues | culture  problems | respect  for gym  staff and equipment To answer this question, I will"
1,2023-12-11,It’s gross,"it’s gross. been coming to the gym a while now and it’s awful. today was the day i thought of leaving. if it wasn’t for the fact the chatham one is my closest! around every machine was used snotty tissues, bottles left, chocolate wrappers and a used cotton ear bud! it was gross. not to mention i get to one part of the gym and the heatings on full blast! always to hot in there, gives you no motivation to stay. sweaty bodies is enough let alone the heat on too!  such a shame!"," 
1. gross gym environment 
2. closet gym 
3. no motivation to stay to answer: This customer review mentions three main topics:",gross gym environment | closet gym | no motivation to stay to answer: This customer review mentions three main topics:
1,2023-12-07,So much for requiring members to be…,so much for requiring members to be over 16. the place is over run with 13-14 year olds hogging the equipment after school. doesn’t anyone check…..???  update in response to puregym’s comment. you seriously don’t expect me to tell your managers how to do their job? it doesn’t take a genius to spot the culprits. why should i be expected to risk life and limb by ratting on them?! just to give you a heads up: date and time? er…everyday after school… duh🤦🤦,"🤦. 
1. 13-14 year olds hogging equipment.
2. managers don't supervise",13-14 year olds hogging equipment. | managers don't supervise
2,2023-11-29,Well equipped gym and PT service and…,"well equipped gym and pt service and competitive rates. however in recent weeks it feels like puregym have forgotten to turn the heating on at walnut street, leicester. i was put off training this week because the gym was freezing and unbelievably, the air con was on in the women’s changing room with no hot water either. my fingers went numb, i couldn’t grip the weights and i had to leave! come on pure gym, you need to offer better basic facilities than this - is this temp and absence of hot water even legal under h&s?"," i’ve been a loyal customer for years but this is the first time i’ve felt this let down. 

1. gym equipment and",gym equipment and
1,2023-11-27,Lake of classes,"i joined this gym in october and by mid november work started to improve the gym which is a good thing however what this means is that from the last few weeks in november till what seems like mid december there are no classes, the only§ reason i joined the gym is for the classes. to date no one has been able to tell me when classes will resume, i think the least that can be done is keep their members informed. i don’t see why i should be paying membership for a gym i can’t attend because they are not providing classes. yes i know i can go to another puregym, however these are not necessarily convenient for me nor do they offer the classes i want at the same time as the edgware classes."," 
1. gym membership. 
2. classes. 
3. no classes.",gym membership. | classes. | no classes.
1,2023-12-06,I am absolutely furious about the…,"i am absolutely furious about the situation today. ieva vasiliauskaite, the assistant manager, was on shift the entire day. i walked into the changing room only to find a biohazard – urine on the floor. shockingly, ieva not only saw it but chose to ignore the issue and casually walked out. its beyond comprehension that someone in a managerial role, responsible for maintaining a clean and safe environment, would neglect such a basic responsibility. i question how she was given this position when she clearly lacks the basic competence needed for the job. this negligence is not just unprofessional; its a serious health risk. the fact that she could blatantly disregard such a blatant problem is infuriating and demands immediate action."," 
1. i am furious. 
2. biohazard – urine on the floor. 
3. negligence is",i am furious. | biohazard – urine on the floor. | negligence is
2,2023-12-03,Very inconsistent with classes,very inconsistent with classes. instructors aren’t good at all and if there’s lesser people for a class they won’t do it sometimes and don’t even notify in advance. the only great class is pilates at puregym bayswater. really need to get better instructors and classes or don’t have them!," 

1. Inconsistent classes.
2. Bad instructors.
3. Puregym Bayswater Pilates.",Inconsistent classes. | Bad instructors. | Puregym Bayswater Pilates.
2,2023-11-19,I didn't even get to join,"i didnt even get to join, i emailed the gym weeks ago to arrange to view, because when i popped in and rang the bell no one answered. i wanted to check before i joined that the gym had majority working equiptment, was clean and wanted to enquire about pt. had no reply. from the negative reviews left on here the reply from managent seemed to over look imporntant issues raised and not reassure me this is is a well managed gym. so sadly ill have to try another. again your reply tells me to get in touch doesnt actually address my issue. i already got in touch on 19th and you ignored it."," i will be contacting legal advice on this. 

1. No reply to my email.
2. Gym not answered bell.
3",No reply to my email.
2,2023-12-07,Poor Facilities,"i have been a member of puregym cardiff gate for several years now, but must say that whilst the gym it self is pretty good and suites my needs, the facilities, require some maintenance, the changing room has a number of damaged lockers the hair dryer x 2 has only one dryer working and to top this the showers are absolutely poor at best it appears that they have turned down the thermostat in the spring to save on energy and costs and it has remained poor throughout the months gone by. at best barely warm, when mentioned to one the instructors he just laughed and said it was warm enough for him. (what a great customer response). we are now into the winter period and you would expect the water temperature to be improved now we are in the colder periods of the year. it would be a good idea for an employee to check this out for themselves as its not like this in other puregyms i have been too."," 

1. facilities need maintenance 
2. poor showers 
3. low water temperature in winter To answer this question, I extracted the three main","facilities need maintenance | poor showers | low water temperature in winter To answer this question, I extracted the three main"
1,2023-11-14,ABSOLUTE JOKE OF A COMPANY,absolute joke of a company i tryed to buy a towel out of there vending machine witch never give me the towel. then the only way you can contact them is threw facebook messenger because theres no actual physical phone number you can speak to someone on. after 12 hours i was finally contacted back (because thats there wait time) to be told 3-5 working days. well that time come and the refund never so you have to go back threw the 12 hour process of contacting them and awaiting the reply. i was then told by the exact same person (james) that my refund would infact take 10-14 working days well i then called james out for this but he didnt respond then another person did. no apology just the process takes that time anyway 14 working days have passed and still no refund so back threw the rigmarole of the 12 hour process then having to give all the details again. now im on like the 15th working day i still havent had a reply back from yesterday after giving my details once again absolve joke. im canceling my membership and they can stick the refund where the sun dont shine.," this place is a joke. ****** i dont even want to think about the customer service. ****** ******

1. bad",bad
1,2023-12-05,"Rude manager, even worse from the PTs...","ive been a member here for over two years now, and all i can say is that thankfully there is finally another option opening in the area in the next few weeks. the kit is ok, even if the placement of the kit is very poor. as a gym, its fine and does what youd expect. my issue is the staff. ive seen the manager several times a week since i joined, and he hasnt once even acknowledged me or said as much as hello, the same can be said for the previous assistant manager. the majority of the personal trainers are the same. no interaction, no welcome, not even a smile. some even go as far as dirty looks when they see you, and ive overheard them even insulting and making fun of members. i made this complaint when asked to leave a review some time ago, and all i got was an email telling me i was wrong. this is exactly the kind of place that gives gyms such a bad name, the ignorance of the staff and personal trainers would be enough to put off a new gym goer."," if you want a friendly, welcoming environment, this is not the place for you. 

1. bad staff 
2. poor placement 
3",bad staff
1,2023-12-13,Not worth the price & lack of customer service,"i was so excited about puregym opening as it’s a 2 minute walk from my house and i can quickly go home and shower and go straight to work.  that was the only reason i joined as i was a member with the gym group and cannot fault their service.  the second reason i joined is they were having a promotional offer of £16.99 ( if you joined before they opened ) for the first six months and then the price increases to £32.99!  puregym need to rethink this price increase as members want value for money and they aren’t providing this.  for example: the constructed layout is small, and i expected a much bigger space for the price. there is too much wasted space and the deadlift rack could have been 6 instead of three and there are no mirrors by this area so you can’t see a side angle.  in addition the way the back extension has been positioned you can’t see a side angle as there is only one long mirror by the dumbbells and you don’t have a front view as it’s been placed in front of a pillar.  i discovered that the cable machines had the wrong stickers on each of the weights so if you thought you were choosing 2.3kg for example it was really 4.3kg. there should have been a sign informing members about this.  where the landline is positioned they have placed a carpet by the window / open doors so if it rains the water comes through and makes the carpet extremely wet.  i discovered this as i was using the landmine in a seated position and my tracksuit bottoms were soaked. i informed the manager and no sign was placed to inform other members.  whoever designed the gym left out critical elements. this gym is missing some key machines: biceps curl, triceps press, lat pulldown, lateral raise, calf press, hack squat and there is a very low amount of cardio machines for this price. for example there is only one upright bike.  there is a good amount of cable machines, but i couldn’t believe they don’t provide a cable straight bar which is the most used attachment for cable machines and a narrow grip landmine handle & row attachment. this is shocking. there is a good amount of functional stuff and that’s about it.  when puregym opened its doors to the public the first thing i was shocked about was the fact that the changing area, toilets/showers and lockers are all on the same floor and shared between men and women.  there aren’t enough lockers for members and they have also provided open shelves for people to put their possessions in which is ridiculous as there is a sign that says puregym can’t be held accountable for anything that goes missing. why didn’t they just provide more lockers?  my frustrations have increased as they opened on the 01/12/2023 and closed 13/12/2023 and didn’t send an email out to members telling us. i found out by going to the gym and seeing a sign saying the place has shut down due to a facilities issue and to use the closest gym to me.  this is a joke as the main reason i joined was the close proximity and the closest to me would be crouch hill, finsbury park or muswell hill which means an additional cost to pay for transport and the distance doesn’t work for me.  when i contacted customer service the only option i was given was to freeze my membership which i would have to pay £6.99 for each month.  i find this preposterous as no emails have been sent out to update members as to when the gym will open again. i could pay £6.99 to freeze my membership and they open tomorrow. we’ve been told to just keep an eye out for an email. this is shocking.  the gym group never do this. they give you a timeframe and keep you updated constantly. if i’m made to pay to freeze my membership i’m cancelling my membership. i feel a lot of members will leave after the first six months as the price increase doesn’t reflect the quality of this gym.", i went to return the membership card i was told that i had to pay £16.99 deposit which i had already paid.  the,99 deposit which i had already paid.  the
1,2023-11-22,Disgusting changing rooms,"disgusting changing rooms, very badly run gym",", no facilities for pregnant women.
1. Disgusting changing rooms.
2. Very badly run gym.
3. No facilities",Disgusting changing rooms. | Very badly run gym. | No facilities
1,2023-11-29,Poor maintenance & poor Sanitary,"the gym has no toilet or shower for a week now & no sign it will bother to repair. in fact if anything breakdown in this gym, it will not get repaired for months. the air conditioning leaks in summer & blows cold air in winter. the weights are left all over the place & the toilets often run out of toilet paper. this is cheap gym, and it shows."," it is a shame that i have to pay for this. 

1. gym has no toilet or shower.
2. air conditioning leaks.",gym has no toilet or shower. | air conditioning leaks.
2,2023-11-30,Air conditioning,"i like this gym but huge problem is it’s really cold here. air conditioning is working for sure,  but i think it’s not necessary on almost december. more useful would be air circulation, because if is bigger number of people is no air to breathe. glass wall are steamy really easy and it effects floor next to it is well. so it you don’t want change carpets in the closest future, because you are looking for savings, do something with it please. as i talked with people it’s not only me and it cause they don’t want to be a members. it’s a shame became it’s a really good gym."," 

1. huge problem 
2. cold 
3. air circulation",huge problem | cold | air circulation
1,2023-11-01,I'm truly devastated by the current…,"im truly devastated by the current state of the gym. for the past month, something has felt off – its dirty, the changing rooms are unpleasant, and most machines are broken. it seems like theres no visible management, and the gym feels like its running without direction. the shocking part is the terrible attitude of the assistant manager, who only treats her clients well, leaving others feeling mistreated. her leadership style is unacceptable, and the position should be given to someone else. additionally, the lift, crucial for individuals with mobility issues, has been out of order for months without anyone addressing the issue. this drastic decline in the gyms quality within a month is truly disheartening. theres a plea for better treatment of members, as other gyms would gladly welcome them."," 

1. gym state is bad 
2. assistant manager attitude 
3. lift out of order To answer this question, I will extract the ","gym state is bad | assistant manager attitude | lift out of order To answer this question, I will extract the"
2,2023-11-23,Spin Bikes,"whilst the spin instructors are all very good,the bikes are all in a terrible state. it seems to be a running joke rather than something that needs to be addressed. even the instructors are frustrated with the bike situation. all of them are rusty and have some issues. please get this sorted pure gym."," 

1. Bikes are in terrible state.
2. Instructors are frustrated.
3. Gym needs to be sorted.",Bikes are in terrible state. | Instructors are frustrated. | Gym needs to be sorted.
1,2023-11-28,One star is generous,"one star is generous, i’ve really tried to give this gym a chance but it gets worse every week. the gym itself is filthy and the machines are always breaking, this i could tolerate but after having some of my belongings stolen while they were “safe” in a locker i’m not sure i’ll ever return. staff are keenly aware that people are having things stolen frequently but don’t really seem bothered. roid heads and thieves, proper joke."," 
1. Gym is filthy.
2. Staff not bothered.
3. Belongings stolen.",Gym is filthy. | Staff not bothered. | Belongings stolen.
1,2023-11-28,Absolutely disappointed with this gym…,absolutely disappointed with this gym false advertising i signed up with plus membership to be able to use other gyms checked i could use borehamwood as live in watford but work in borehamwaood now it should i could. i tried to use the gym in borehamwood i couldn’t get in and received a texts saying i can’t use this gym and on the puregym app it won’t let me change anything . so all in all a big waste of time and money,". 
1. I signed up for a plus membership.
2. I couldn’t get in to the gym in Borehamwood.",I signed up for a plus membership. | I couldn’t get in to the gym in Borehamwood.
2,2023-10-01,"Dumbbells scatter, gym smell sweaty","- do something with scattered dumbbells&barbells on the floor. members are not putting it back in it’s place. so many times that i want to use 6-8kg dumbbells but it went to 40kg dumbbell zone. - gym is smelly. everytime when i walk in, i smell musty,sweaty smells all the time."," - i hate the fact that i have to clean up after my workout. i hate it. 
1. Dumbbells are scattered. 
",Dumbbells are scattered.
1,2023-11-27,Terrible company,"terrible company. just take money out of your account without your permission. i shared my concerns with the current state of the gym and the manager but nothing changed.   puregym snowhill id question who is giving this gym such good reviews, especially on cleanliness. personal trainers and staff maybe?  this gym is below the standard of others ive used within the chain. the personal trainers are needless arrogant and uninspiring. the equipment is old, rusting and stinks. although there are products to clean the equipment after use by its members this is ultimately the responsibility of the cleaners however, the cleaners spend more time on their phones in the changing rooms than they do cleaning, and pushing a vacuum around is about as much as they do, theres never any soap to wash your hands and when there is, the soap dispensers are broken for weeks on end, this only seems to have been an issue since mid-2022/2023 so i’d question the management of the place. chewing gum is stuck to carpets it cant be that hard to notice! is it that hard to monitor the cleanliness and safety of the equipment?  every personal trainer must have a disability in this gym as they use the only disabled toilet for members that need it, evidently because its more convenient than walking up 3 steps to the changing room 10 feet away.  if this gym wasnt so close to where i live id have left by now.","  i will never recommend this place to anyone.  terrible company. just take money out of your account without your permission. 
1. terrible company",terrible company
1,2023-05-31,Machine built incorrectly,"i was really enjoying this gym but the hip adductor/abductor machine has the handles bolted on the wrong way, so when your legs part, they hit the handles, the handles should be flush with the seat not interfering with your movement. i got sick of it bruising my thighs.  i told the gym via instagram which they read on 31st may, they still havent changed it. i havent been since due to not being able to complete my legs workout.  its literally 4 bolts to undo it then turn it the right way!","  i wouldnt recommend this gym unless they fix this issue. 
1. handles bolted on the wrong way 
2. bruising thigh",handles bolted on the wrong way | bruising thigh
1,2023-11-27,Hello,"hello  i joined the puregym bedford nearly three months ago. my first payment included so called admin fee and other fees, the second payment for the monthly was suppose to be £18.99 they took £51,99 with no reason, my complaints have been ignored, the gym manager states this is a customer services issue contact the puregym customer services on member,service email which gives you get an automatic response stating we our sorry you are leaving our gym, so i just ignored the cost and got on with it, this month they took £36.99. i stopped my gym direct debit they then cancelled my gym membership despite having paid, again i spoke with the gym team and again they pointed me towards the email previously mentioned, puregym more like purecon. £115 for three month membership when the gym membership was suppose to be £18.99. stay well clear"," of puregym. 

1. Puregym bedford 2. £51,99 3. £18.","Puregym bedford | £51,99 | £18."
2,2023-11-27,"Dirty, busy and machines out of order for long periods","a certain gym machine has been out of order for 3+ weeks and there is only one of this specific machine in this puregym, meaning i’ve had to skip the exercise from my routine for 3 weeks. the gym is busy all the time and it is hard to use equipment without waiting for ages. changing rooms/toilets always stink and are kept it a bad condition."," i would recommend this gym to anyone who wants to lose weight and is willing to put up with the bad condition. 
1. gym machine is out",gym machine is out
2,2023-11-24,Water problem,"hi, i recently became member of pure gym. i had two classes and i really liked, the instructors were great. but on the downside when i went to have a shower, there was no hot water. this was a really inconvenient for me because i had to go to work straight after. i would like to know when this problem will be fixed as i do not think it is right to advertise something and then you don’t provide it."," the classes were fun and i enjoyed them. the only thing i did not like was the shower. 

1. Pure Gym membership.
",Pure Gym membership.
1,2023-11-21,Terrible experience shower temperature…,terrible experience shower temperature set at luke warm 33 degrees . this is 4.5 degrees below body temperature and is totally unacceptable. complained but response basically from customer service was dismissive and a barely warm shower was company policy . will probably cancel membership and join a new gym opening in december in bromley!," 

1. Shower temperature is too low.
2. Dismissive customer service response.
3. Membership cancellation planned.",Shower temperature is too low. | Dismissive customer service response. | Membership cancellation planned.
1,2023-11-22,Overcrowded gym & unpleasant trainers,"made it 5 minutes late to the first & last class i booked with pure gym (i prefer just using weights usually) because of a bus delay and was told to leave the class. cancelling my membership right after posting this review because this is no proper way to treat a paying customer. lateness of 15 min + i’d understand, but for 5 minutes you’re just being unpleasant for the sake of it.  the trainer justified this by saying i missed the warm-up but the class itself was packed to the brim and if you read the other low star reviews you can easily see they are not managing booking properly so let’s be honest here about what the issue is. any respectable venue would check names before allowing attendees in the class and would give a 5 minutes grace for entrance. back to nuffield i go.  other complaints are: equipment being broken fairly frequently and taking a while to fix venue smelling bad generally - makes you wonder about hygiene standards severe overcrowding at peak times - i understand it’s a budget gym and i guess this comes with the territory (and it’s indeed why i decided to try out a class this time around because it’d be a challenge to secure a squat rack at this time - 6.30pm on a wednesday)  this review pertains to the legs, abs & tums class of wednesday 22nd november 6.30pm. toodles!  p.s. i’d appreciate it if the venue didn’t respond to tell me how “popular” pure gyms venues are as it did to the other low rating reviews. it’s a budget gym that allows oversubscription and has poor booking management, not the most popular girl in class. be so for real. cute public perception management attempt, i suppose."," 

1. Pure gym was late.
2. They cancelled my membership.
3. They are unpleasant.",Pure gym was late. | They cancelled my membership. | They are unpleasant.
1,2023-11-14,Average gym,"good business model, an average gym. has the atmosphere of being in a 24hr supermarket at 3 am. it makes rules like no bags or to wear footwear but none of the staff will say anything because they are doing their main gig of personal training.  machines constantly out of use and no hot water for well over a week.","  i've been here twice now and will probably not return. 

1. Bad facilities.
2. Staff attitude.
3. Un",Bad facilities. | Staff attitude. | Un
1,2023-11-21,Men’s changing rooms and showers closed…,"men’s changing rooms and showers closed again due to drain problems - no warning this morning when i went at 7.30am - think it happened yesterday, but is was also closed a few weeks back as well. i’ve been a member for years, not long after it opened. history of drainage and leak issues at this gym. staff response this morning wasn’t that helpful although they can’t fix it either.."," 

1. Drainage issues.
2. Changing rooms closed.
3. Staff unhelpful.",Drainage issues. | Changing rooms closed. | Staff unhelpful.
2,2023-11-01,Average at best,"the staff including the management just hang around a desk most of the time laughing and joking. what do these people actually do? the changing rooms are not warm enough, the lockers are monopolised by people locking them and leaving the premises. this is not checked by the staff despite the website stating that they do this every night. music is too loud. the wifi provided does connect but signal is poor. its okay for the price but not well managed. changing rooms are a bit unclean. also the off peak hours are not the same as what is stated on the website they are 30 minutes later."," the staff are not helpful. the management is just hanging around. they should be doing their jobs. 
1. staff hang around 2. changing",staff hang around | changing
