Rating,Date Experienced,Review Title,Review,Generated Topics,Extracted Topics
2,2023-12-12,"Okay gym, awful classes","ive been a customer here for over a year now, and the gym is pretty good, well equipped and does the job. my main review is for the pts who lead the sessions - either theyre not trained or shouldnt be supported to run classes. sessions where the trainer is 1) underprepared to lead (not knowing what exercises come next), 2) demotivated (barely engaging with customers / going on phones), and 3) not being attentive to attendees (playing random music / not speaking) should not be paid for. im sure that theyre great people and i realise that this isnt a luxury gym experience - but these are some bare minimum things that have gone unchanged for the better part of a year. please do better, puregym!"," 

1) bad leadership 2) bad customer service 3) lack of training",bad leadership | bad customer service | lack of training
1,2023-12-09,I wasn't going to write a review until…,i wasnt going to write a review until i saw the clearly fake 4 & 5 star reviews below.  this gym is by far the busiest ive ever witnessed (like unsafe busy). you will queue for nearly all machines and someone will then be waiting for you to finish. your workout will be defined by what equipment is available.  side note: why do so many young teenagers hangout here socialising in groups? they dont even exercise.  anyone willing to open an alternative low-cost franchise gym in leamington spa or warrick would make bank.,  the staff are very friendly and helpful but the gym is so packed that you cant get a personal trainer.  the equipment is old and outd,
1,2023-12-13,Booked Absolute Abs class from 1845 to…,"booked absolute abs class from 1845 to 1915 on 13th dec 2023 , its gone past time and no instructor was present ,  when i went and enquired - i was told that class was cancelled. 100% unprofessional. this is at puregym dudley!","  i would never recommend this gym to anyone.  i would advise anyone to go to puregym dartford instead. 

1. P",P
2,2023-12-13,Overpriced,"i was so excited about this gym but its not worth the value. new, nicely built, unfortunately very overpriced gym. we appreciate the welcome price but thats the catch! final basic price: £32.99 !  the constructed layout is small, expected much bigger space for the price. too much wasted space and unorganised positions for the machines. missing 1-10kg dumbbell set by the free weight. missing some key machines: biceps curl, triceps press, lat pulldown, lateral raise, calf press, hack squat and very low amount of cardio machines for this price. good amount of cable crossovers, good amount of functional stuff, 3 deadlift rack which could have been 6 if you move it and use the back side too...  ive been to some puregyms which are cheaper and bigger in the area - dont understand why this one is so high priced. maybe the 24/7 access, but thats not compensating the issues i just mentioned.  i really hope you consider and act on my advise. lower the price or add more stuff!"," 

1. bad value 2. bad space 3. missing equipment To answer this question, we need to extract the main points of the customer","bad value | bad space | missing equipment To answer this question, we need to extract the main points of the customer"
1,2023-12-12,Long term member,"long term member. 24hr gym, my daughter went to gym before work arrived at 5:15am left at 5:47am and got a £100 parking ticket. the car park is open, no barriers etc, and is used for puregym, homebase and mcdonalds. and for some reason looking at the small print that you can not see in the dark says no parking between 00.30 & 5:30am. there is no reason to have those restrictions in that car park apart from making money from people who use the gym in those hours. purgym should make it clear on the website no parking available between hours stated above."," 

1. Parking ticket.
2. Car park restrictions.
3. Gym hours.",Parking ticket. | Car park restrictions. | Gym hours.
1,2023-09-07,"not suitable for a white working class….racist undertones unwelcoming for white males ,SAD FACTS not opinions","not suitable for a white working class male to enter, was virtually marched out by management ridiculed and abused ,h.r said sorry and offered me £ 10 pound discount shameful place my ethnicity was not welcome ...sad sad place for a silver medalist gracie jujitsu fighter.terrible experience would not advise any white person to enter here .if you do you will feel the facts.  shameful place as other pure gyms are excellent and welcoming and professional.....this is not suitable for white people .simple.",  i am a white working class male who was told i was not welcome here.  i was ridiculed and abused by management. h,
2,2023-12-11,Scam when freezing membership,"i feel totally scammed by puregym, i’ve just had an accident and can’t do workouts for a month. i remember my bill date was on mid-december, i rushed to freeze my membership but turns out that you need to do it around 4 days earlier, so need to pay this month as usual and next with the freeze price, what doesn’t help. i got so annoyed that tried to cancel my membership for good but they don’t even allow you to do it till your bill date has passed by some days so they can make sure you can’t claim it back through your bank. i can’t believe they trick the app this way so you can’t basically do anything when all subscriptions nowadays allow you to even cancel the day before of your bill date. they got my money for this month but it will be the last, there’re more gyms in the area that are about same prices and not that crowded and probably not that dirty.. you will never see any cleaning around. also it’s bloody cold in there, try to have a shower in winter time there.."," 

1. Puregym scammed me.
2. Membership freeze price.
3. Membership cancellation.",Puregym scammed me. | Membership freeze price. | Membership cancellation.
2,2023-12-13,Not as good,"a bit on a small side same changing rooms for male and female? big no for me! only 20 or so lockers and half of them are already taken by people who keep their stuff over the night. pls do not do that, take your gym bag with you when u leaving and free the lockers! some equipment still missing , not so many machines…. no cleaning stations no sanitising sprays to clean sweaty benches /equipment. it is really uncomfortable and makes you feel bad when you have to use dirty bench covered in sweat. and when gym is closed due to unforeseen circumstances should we not get an email for how long or when will it be reopen? comparing to other pure gyms this one not doing that well.."," 

1. Changing rooms for male and female.
2. Lockers and equipment availability.
3. Gym closures and communication.",Changing rooms for male and female. | Lockers and equipment availability. | Gym closures and communication.
1,2023-12-12,the gym & class offer is basic,"the staff are lovely. but, the gym itself is very basic and the offer of classes is very thin on the ground. one of pure gyms biggest selling points is the ‘over 50 free classes’ line which features outside the gym along the wall. yet there are maybe 5 or 6 classes a day at most. the classes that are always full have not once been increased in number and popular classes have been reduced to 30 min classes to 15 minutes and now are not available at all. i’m basically paying a monthly fee for access to a treadmill and some weights - very much not the pure gym sell. very disappointing. in addition, the culture perpetuated by some of the young men in this gym is also completely unacceptable and has no place in a modern society. women should feel safe in the gym and able to mind their own business. sadly this doesn’t seem to be the case in this one. the solution is not ‘female only spaces’ it should be a zero tolerance policy led by pure gym."," the staff are lovely. but, the gym itself is very basic and the offer of classes is very thin on the ground. one of pure gyms",
2,2023-12-06,Freezing showers no repair in sight,"showers have been broken (freezing) for months, never actually been hot in the ladies for the 2 years + i’ve been a member.  now sourcing an alternative gym to join as i need to get clean after training.  such a shame puregym corporate don’t care about their clients as the staff at andover are lovely but can’t do anything about the gym failures such as broken equipment, ablutions, wifi without some corporate authority which is never forthcoming.",  i’ve tried everything from complaining to the council to the council’s solicitors but nothing has worked.  i’ve also tried,
1,2023-12-15,The gym is closed atm,"the gym is closed atm. it closed yesterday at 7pm and today it was closed. there is no information of when is going to open, no explanation",. i am a member but i dont like it. i dont know why. i dont think it is a good idea to join a gym. if,
1,2023-12-04,There never seems to be any hot water…,"there never seems to be any hot water for the showers. the men’s changing rooms had even lost 3 showers. i assume due to cost saving, which is another issue as you stand in a cold changing room waiting for an available shower. non the less surely it’s a legal requirement to provide a certain level of warms in a place open to paying members of the public. with saving money not refitting and blocking off three showers surely there is a few pennys more in the jar for some warmer air and water?"," 

1. Hot water issue.
2. Changing room problem.
3. Legal requirement concern.",Hot water issue. | Changing room problem. | Legal requirement concern.
2,2023-12-17,Caution with PT's,"the gym itself i cant fault. very clean, to a good standard and well maintained.  however, take caution if you are considering hiring one of the pts there (i wont say who, due to it being there being an ongoing investigation regarding this pt).  the pt i hired promised, for £233 a month, 8 sessions and a fitness plan i could follow. however, this was not delivered. the in-person sessions completely contradicted the online sessions set, the diet plan was completely off from what i needed, the supplements didnt match to watch i stipulated (i told the pt i couldnt take creatine, yet the diet plan heavily relied on it) and i ended up with several injuries as a result of the exercises set-the reason i hired a pt was so i could recover from injuries, among other things.  the pt only delivered on 4 booked sessions, of the 8 promised. i met them for a 5th, however i wont count that one, he cancelled the booked one at short notice, and rearranged it for a time that was completely unsuitable. even though i attended, i only completed about half of it because i ended up with an injury, because he booked a running session the day after another running session, as the pt hadnt checked the online sessions he had set for me. i ended up not being able to rest my legs.  i didnt hear anything after that from the pt for over a week. i was surprised to find the pt had charged me for another month, with no direct debit set up, no subscription agreement set up, nor had the pt asked whether i wanted another month. the pt hadnt delivered on one months worth of sessions.  were now nearly 3 weeks since i had the money taken out, and the pt has still to book a session or even contact me. the clearly never intended on delivering a session this month.  ive tried contacting puregym, and making them aware of the situation. the pt is still operating at the gym, and the issue is still not resolved. i havent really heard from anyone, beyond the odd email to state they were aware. im not the sort to publicly shame, and i was prepared to give the gym time to resolve this issue. however, as i havent heard anything, i dont have much of a choice."," 

1. gym maintenance 
2. hiring experience 
3. refund/delivery issues To answer this question, I will stop here.","gym maintenance | hiring experience | refund/delivery issues To answer this question, I will stop here."
2,2023-12-10,"Poor gym etiquette, Norwich Aylsham Road","the gym itself is okay, could benefit from an extra leg machine (e.g.: hack squat) and a better calf raise machine (e.g.: standing straight leg). lockers are only outside changing rooms which was annoying at the start but i got used to it after a couple of months.  the biggest issue i have with this gym is the fact that most of the equipment always has plates on it. most people do not bother putting weights back. i have been to a large number of other gyms in norwich (including other puregym in castle mall), other cities and countries, and ive never seen it that bad. the culture in this gym is really poor, and the management needs to do something about it, there are ways to encourage/remind of positive and responsible behaviour. as of now, a lot of people have zero respect for the place, the equipment, and the people who will be using said equipment after theyre done. imagine your young sister or (grand)mother joining the gym and not being able to use half of the machines because they got 20/25kg plates all over which they cannot remove themselves safely. really, really poor."," 

1. equipment  issues
2. culture  problems
3. respect  for gym  staff and equipment To answer this question, I will","equipment  issues | culture  problems | respect  for gym  staff and equipment To answer this question, I will"
1,2023-12-14,Cancelling membership is scam,"they make it impossible to cancel your membership. you click on cancel membership button and theres a link on ""information on process of cancelling your membership"" that link tells you to go to the cancel membership button from where you just came and you are told to follow the instructions. which are go and press that button that says follow the instructions to press the button that tells you to follow the instructions to press the button that tells you to follow the instructions to press the button .."," 

Member Protection is a big issue for me. I am a member of this site for 3 years and I have never seen anything like this.",
1,2023-12-11,It’s gross,"it’s gross. been coming to the gym a while now and it’s awful. today was the day i thought of leaving. if it wasn’t for the fact the chatham one is my closest! around every machine was used snotty tissues, bottles left, chocolate wrappers and a used cotton ear bud! it was gross. not to mention i get to one part of the gym and the heatings on full blast! always to hot in there, gives you no motivation to stay. sweaty bodies is enough let alone the heat on too!  such a shame!"," 
1. gross gym environment 
2. closet gym 
3. no motivation to stay to answer: This customer review mentions three main topics:",gross gym environment | closet gym | no motivation to stay to answer: This customer review mentions three main topics:
1,2023-12-04,"Smelly showers, busy gym","smelly showers, manager touches clients inappropriately and trains them on-shift. full of teenagers and equipment rattles and not maintained. ceiling leaks regularly in heavy rain.", the manager is a bully and treats clients badly. the showers are smelly and the manager is inappropriate. the manager touches clients,
1,2023-12-07,So much for requiring members to be…,so much for requiring members to be over 16. the place is over run with 13-14 year olds hogging the equipment after school. doesn’t anyone check…..???  update in response to puregym’s comment. you seriously don’t expect me to tell your managers how to do their job? it doesn’t take a genius to spot the culprits. why should i be expected to risk life and limb by ratting on them?! just to give you a heads up: date and time? er…everyday after school… duh🤦🤦,"🤦. 
1. 13-14 year olds hogging equipment.
2. managers don't supervise",13-14 year olds hogging equipment. | managers don't supervise
2,2023-11-29,Well equipped gym and PT service and…,"well equipped gym and pt service and competitive rates. however in recent weeks it feels like puregym have forgotten to turn the heating on at walnut street, leicester. i was put off training this week because the gym was freezing and unbelievably, the air con was on in the women’s changing room with no hot water either. my fingers went numb, i couldn’t grip the weights and i had to leave! come on pure gym, you need to offer better basic facilities than this - is this temp and absence of hot water even legal under h&s?"," i’ve been a loyal customer for years but this is the first time i’ve felt this let down. 

1. gym equipment and",gym equipment and
1,2023-11-27,Lake of classes,"i joined this gym in october and by mid november work started to improve the gym which is a good thing however what this means is that from the last few weeks in november till what seems like mid december there are no classes, the only§ reason i joined the gym is for the classes. to date no one has been able to tell me when classes will resume, i think the least that can be done is keep their members informed. i don’t see why i should be paying membership for a gym i can’t attend because they are not providing classes. yes i know i can go to another puregym, however these are not necessarily convenient for me nor do they offer the classes i want at the same time as the edgware classes."," 
1. gym membership. 
2. classes. 
3. no classes.",gym membership. | classes. | no classes.
1,2023-12-06,I am absolutely furious about the…,"i am absolutely furious about the situation today. ieva vasiliauskaite, the assistant manager, was on shift the entire day. i walked into the changing room only to find a biohazard – urine on the floor. shockingly, ieva not only saw it but chose to ignore the issue and casually walked out. its beyond comprehension that someone in a managerial role, responsible for maintaining a clean and safe environment, would neglect such a basic responsibility. i question how she was given this position when she clearly lacks the basic competence needed for the job. this negligence is not just unprofessional; its a serious health risk. the fact that she could blatantly disregard such a blatant problem is infuriating and demands immediate action."," 
1. i am furious. 
2. biohazard – urine on the floor. 
3. negligence is",i am furious. | biohazard – urine on the floor. | negligence is
2,2023-12-03,Very inconsistent with classes,very inconsistent with classes. instructors aren’t good at all and if there’s lesser people for a class they won’t do it sometimes and don’t even notify in advance. the only great class is pilates at puregym bayswater. really need to get better instructors and classes or don’t have them!," 

1. Inconsistent classes.
2. Bad instructors.
3. Puregym Bayswater Pilates.",Inconsistent classes. | Bad instructors. | Puregym Bayswater Pilates.
2,2023-11-19,I didn't even get to join,"i didnt even get to join, i emailed the gym weeks ago to arrange to view, because when i popped in and rang the bell no one answered. i wanted to check before i joined that the gym had majority working equiptment, was clean and wanted to enquire about pt. had no reply. from the negative reviews left on here the reply from managent seemed to over look imporntant issues raised and not reassure me this is is a well managed gym. so sadly ill have to try another. again your reply tells me to get in touch doesnt actually address my issue. i already got in touch on 19th and you ignored it."," i will be contacting legal advice on this. 

1. No reply to my email.
2. Gym not answered bell.
3",No reply to my email.
1,2023-12-05,Dodgy gym,"showers too cold, shower doors dont close, dirty showers - i dont have a clue what staff are checking when they do checks! machines knackered and not been fixed. this is the west one branch. basically the most shady shoddy gym.", i have been here 3 times now and i still havent had a shower that was warm. i dont know what to do. i have a,
1,2023-12-05,This gym is cold and wet,this gym is cold and wet. it’s lovely to have this large windows but you cannot see anything through them due to the condensation. maybe if the gym was a bit warmer it would happen. i’ve seen people training in their coats this week. not looking forward to the carpet smelling of mould over the next few weeks,. the carpet is wet and sticky. i’ve tried to clean it but it’s not drying properly. the staff are nice and helpful but,
1,2023-12-11,The worst gym ever.,"the worst gym ever. 1- they’ll closed it for maintenance and will not inform you. 2- the bathroom is nasty, not clean. 3- only one water station",", no pool. 4- the staff are rude and unhelpful. 5- the equipment is old and broken. 6-",
2,2023-12-07,Poor Facilities,"i have been a member of puregym cardiff gate for several years now, but must say that whilst the gym it self is pretty good and suites my needs, the facilities, require some maintenance, the changing room has a number of damaged lockers the hair dryer x 2 has only one dryer working and to top this the showers are absolutely poor at best it appears that they have turned down the thermostat in the spring to save on energy and costs and it has remained poor throughout the months gone by. at best barely warm, when mentioned to one the instructors he just laughed and said it was warm enough for him. (what a great customer response). we are now into the winter period and you would expect the water temperature to be improved now we are in the colder periods of the year. it would be a good idea for an employee to check this out for themselves as its not like this in other puregyms i have been too."," 

1. facilities need maintenance 
2. poor showers 
3. low water temperature in winter To answer this question, I extracted the three main","facilities need maintenance | poor showers | low water temperature in winter To answer this question, I extracted the three main"
1,2023-11-14,ABSOLUTE JOKE OF A COMPANY,absolute joke of a company i tryed to buy a towel out of there vending machine witch never give me the towel. then the only way you can contact them is threw facebook messenger because theres no actual physical phone number you can speak to someone on. after 12 hours i was finally contacted back (because thats there wait time) to be told 3-5 working days. well that time come and the refund never so you have to go back threw the 12 hour process of contacting them and awaiting the reply. i was then told by the exact same person (james) that my refund would infact take 10-14 working days well i then called james out for this but he didnt respond then another person did. no apology just the process takes that time anyway 14 working days have passed and still no refund so back threw the rigmarole of the 12 hour process then having to give all the details again. now im on like the 15th working day i still havent had a reply back from yesterday after giving my details once again absolve joke. im canceling my membership and they can stick the refund where the sun dont shine.," this place is a joke. ****** i dont even want to think about the customer service. ****** ******

1. bad",bad
1,2023-12-01,It’s Freezing all the time in this gym,"it’s freezing all the time in this gym! including the water for a shower. something strange is going on with the ac as the windows are streamed up constantly yet the gym is always cold, you would expect it to be steamed up a little during busy times but not all the time when the gym is empty."," the staff are very nice and helpful, but the equipment is terrible. the springs on the dumbbells are rusted and the handles are bent",
2,2023-12-16,"Showers cold, no air con",showers are cold and air con is never on. if these 2 things could be resolved this gym would defo be 5 stars. gym is great. staff are great., 2nd floor is great. 2nd shower is cold. 1st shower is fine. air con is never on. 2nd,
1,2023-12-05,"Rude manager, even worse from the PTs...","ive been a member here for over two years now, and all i can say is that thankfully there is finally another option opening in the area in the next few weeks. the kit is ok, even if the placement of the kit is very poor. as a gym, its fine and does what youd expect. my issue is the staff. ive seen the manager several times a week since i joined, and he hasnt once even acknowledged me or said as much as hello, the same can be said for the previous assistant manager. the majority of the personal trainers are the same. no interaction, no welcome, not even a smile. some even go as far as dirty looks when they see you, and ive overheard them even insulting and making fun of members. i made this complaint when asked to leave a review some time ago, and all i got was an email telling me i was wrong. this is exactly the kind of place that gives gyms such a bad name, the ignorance of the staff and personal trainers would be enough to put off a new gym goer."," if you want a friendly, welcoming environment, this is not the place for you. 

1. bad staff 
2. poor placement 
3",bad staff
1,2023-12-03,Absolute joke Denton gym that hot in…,absolute joke denton gym that hot in summer due to aircon not on you lost electolites training...now its winter and freezing. this is the last month the s**t hole gets my money and the cleanliness is terrible,. i dont know if i will ever come back. the staff are rude and unprofessional. the aircon is terrible and the gym is freezing,
1,2023-12-13,Not worth the price & lack of customer service,"i was so excited about puregym opening as it’s a 2 minute walk from my house and i can quickly go home and shower and go straight to work.  that was the only reason i joined as i was a member with the gym group and cannot fault their service.  the second reason i joined is they were having a promotional offer of £16.99 ( if you joined before they opened ) for the first six months and then the price increases to £32.99!  puregym need to rethink this price increase as members want value for money and they aren’t providing this.  for example: the constructed layout is small, and i expected a much bigger space for the price. there is too much wasted space and the deadlift rack could have been 6 instead of three and there are no mirrors by this area so you can’t see a side angle.  in addition the way the back extension has been positioned you can’t see a side angle as there is only one long mirror by the dumbbells and you don’t have a front view as it’s been placed in front of a pillar.  i discovered that the cable machines had the wrong stickers on each of the weights so if you thought you were choosing 2.3kg for example it was really 4.3kg. there should have been a sign informing members about this.  where the landline is positioned they have placed a carpet by the window / open doors so if it rains the water comes through and makes the carpet extremely wet.  i discovered this as i was using the landmine in a seated position and my tracksuit bottoms were soaked. i informed the manager and no sign was placed to inform other members.  whoever designed the gym left out critical elements. this gym is missing some key machines: biceps curl, triceps press, lat pulldown, lateral raise, calf press, hack squat and there is a very low amount of cardio machines for this price. for example there is only one upright bike.  there is a good amount of cable machines, but i couldn’t believe they don’t provide a cable straight bar which is the most used attachment for cable machines and a narrow grip landmine handle & row attachment. this is shocking. there is a good amount of functional stuff and that’s about it.  when puregym opened its doors to the public the first thing i was shocked about was the fact that the changing area, toilets/showers and lockers are all on the same floor and shared between men and women.  there aren’t enough lockers for members and they have also provided open shelves for people to put their possessions in which is ridiculous as there is a sign that says puregym can’t be held accountable for anything that goes missing. why didn’t they just provide more lockers?  my frustrations have increased as they opened on the 01/12/2023 and closed 13/12/2023 and didn’t send an email out to members telling us. i found out by going to the gym and seeing a sign saying the place has shut down due to a facilities issue and to use the closest gym to me.  this is a joke as the main reason i joined was the close proximity and the closest to me would be crouch hill, finsbury park or muswell hill which means an additional cost to pay for transport and the distance doesn’t work for me.  when i contacted customer service the only option i was given was to freeze my membership which i would have to pay £6.99 for each month.  i find this preposterous as no emails have been sent out to update members as to when the gym will open again. i could pay £6.99 to freeze my membership and they open tomorrow. we’ve been told to just keep an eye out for an email. this is shocking.  the gym group never do this. they give you a timeframe and keep you updated constantly. if i’m made to pay to freeze my membership i’m cancelling my membership. i feel a lot of members will leave after the first six months as the price increase doesn’t reflect the quality of this gym.", i went to return the membership card i was told that i had to pay £16.99 deposit which i had already paid.  the,99 deposit which i had already paid.  the
1,2023-12-01,Not the fault of the staff locally,"not the fault of the staff locally, who clearly are limited by the choices of higher management. but this gym is poor. almost every locked is smashed in and unusable, and has been for months if not years. complaints to management don’t see them replaced - they need a wholesale replacement.    the gym space is huge but is very poor used. feels like no logic or thought went into what went where. no natural light - constraint of the space - but that can be dealt with whit light painting schemes and good electric lighting. and keep g your premises free of mould. puregym don’t manage to get the basics right.  and yes, the situation in the showers is poor. 23 (reduced from 30+ second of very low pressure, tepid water is not exactly invigorating and doesn’t energise you after a workout. it all feels like what you might get i a comprehensive school that hadn’t received any investment for thirty years. it’s a bad space, it isn’t maintained, and management seem content for it to be run down further.  it’s a pity because it could be good - or at least far more than it is now.  if you fix anything in short order, fix the lovkers. if nothing g else , our belongings should be safe from robbery",".  i’ll be looking elsewhere for a gym. [END]   So the main topics are: LOCKS, SPACE,",
1,2023-12-12,"Can’t change my home gym,and there’s no…","can’t change my home gym,and there’s no phone number to talk to a human. my home gym was at croydon and now move to wandsworth."," i’ve tried everything to get a response, but nothing. i’ve also tried to contact the company on their website, but the phone number",
2,2023-12-02,Good equipment but freezing showers,busy gym with good equipment. let down by recent lowering of water temperatures in the showers- avoid these., the showers are cold and the water pressure is poor. the pool area is nice and the pool is clean. the pool area is nice and the,
1,2023-10-01,The hair dryer is not working since…,the hair dryer is not working since september 😫  you cant afford to buy a new one?? this is ridiculous,!  i have tried everything to fix it but nothing works.  i have a warranty on it but it wont let me take advantage of it,
1,2023-12-04,ABSOLUTLY FREEZING,absolutly freezing colder than outside this morning. no wonder it was dead, quiet in the shop. i bought a new pair of gloves and they are so thin i can feel the cold air through them. i'm thinking,
2,2023-12-10,Unfriendly staff and machines quite…,unfriendly staff and machines quite close to eachother,". 
I bought this machine to make my own bread. 
The bread smells amazing and tastes great. 
The staff were very unfriendly and the",
1,2023-12-06,Rude Staff,rude staff. they can be very intimidating. some of them should be more respectful., i was told i would get a discount but never did. i was very unhappy with the service. i would not recommend this shop to anyone.,
1,2023-11-22,Disgusting changing rooms,"disgusting changing rooms, very badly run gym",", no facilities for pregnant women.
1. Disgusting changing rooms.
2. Very badly run gym.
3. No facilities",Disgusting changing rooms. | Very badly run gym. | No facilities
1,2023-11-30,Customers… an inconvenience.,"this company deliberately refuses to engage other than through a chat service which promises a reply ‘usually within 12 hours’.  they’ve chosen not to bother having phone lines.  they don’t provide up-to-date information about sudden, unexpected, and in the end unexplained, closures of some gyms.  those are the signs of a cash cow, not a company with any concern for its customers.","  i’ve tried to contact them by phone, email, and chat, but all attempts have been fruitless.  i’ve also tried",
1,2023-11-29,Poor maintenance & poor Sanitary,"the gym has no toilet or shower for a week now & no sign it will bother to repair. in fact if anything breakdown in this gym, it will not get repaired for months. the air conditioning leaks in summer & blows cold air in winter. the weights are left all over the place & the toilets often run out of toilet paper. this is cheap gym, and it shows."," it is a shame that i have to pay for this. 

1. gym has no toilet or shower.
2. air conditioning leaks.",gym has no toilet or shower. | air conditioning leaks.
2,2023-11-30,Air conditioning,"i like this gym but huge problem is it’s really cold here. air conditioning is working for sure,  but i think it’s not necessary on almost december. more useful would be air circulation, because if is bigger number of people is no air to breathe. glass wall are steamy really easy and it effects floor next to it is well. so it you don’t want change carpets in the closest future, because you are looking for savings, do something with it please. as i talked with people it’s not only me and it cause they don’t want to be a members. it’s a shame became it’s a really good gym."," 

1. huge problem 
2. cold 
3. air circulation",huge problem | cold | air circulation
1,2023-11-30,Gone down hill impossible to get on a…,gone down hill impossible to get on a bench unless you go at 1am in the morning.  much better 24hour gyms with more equipment and better prices.  will be cancelling.,  i have tried 2 gyms in 2 weeks and neither one satisfied me.  i am very disappointed.  i am looking for,
1,2023-11-29,No hot water for 3 months!,no hot water for 3 months. it’s freezing outside!, i bought this boiler for my old house. the boiler is very noisy. it’s not worth it. i’ve had to,
